"name","image","rarity","team","idol","level","master","number","life","total_min","dance_min","total_MAX","dance_MAX","total_MM","dance_MM","vocal_min","visual_min","vocal_MAX","visual_MAX","vocal_MM","visual_MM","get_card","center","skill_type","skill","date","evol","gasya"
"元気100倍ステージ　高槻やよい","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1537274486.jpg","R","エンジェル","高槻やよい","40","4","107","30","4125","1353","8048","2640","9256","3036","1390","1382","2712","2696","3120","3100","プラチナガシャ
ようこそ！プロデューサーさんガシャ
","Angelチャージ
Angelタイプのライフが20％アップ
","ダメージガード

","元気プレゼント
11秒ごとに21％の確率で5秒間、ライフが減少しない
","2017-06-29","元気100倍ステージ　高槻やよい＋

","○

"
"お嬢様のたしなみ　水瀬伊織","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1498710578.jpg","R","フェアリー","水瀬伊織","40","4","111","30","4057","1738","7918","3392","9106","3900","1362","957","2658","1868","3058","2148","プラチナガシャ
ようこそ！プロデューサーさんガシャ
","Fairyステップ
Fairyタイプのダンス値が30％アップ
","スコアアップ

","一流レディの風格
7秒ごとに31%の確率で5秒間、Perfectのスコアが20％アップ
","2017-06-29","お嬢様のたしなみ　水瀬伊織＋

","○

"
"踏み出した夢への一歩　白石紬","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1498707566001.jpg","SSR","フェアリー","白石紬","80","5","215","40","7286","1788","14392","3532","16822","4127","2415","3083","4770","6090","5575","7120","プラチナガシャ
ようこそ！プロデューサーさんガシャ
","Fairyコーデ
Fairyタイプのビジュアル値が90%アップ
","スコアアップ

","不安も希望も胸に抱いて
9秒ごとに31％の確率で5秒間、Perfect/Greatのスコアが30％アップ
","2017-06-29","踏み出した夢への一歩　白石紬＋

","○

"
"シアターデイズ　最上静香","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1498713616.jpg","R","フェアリー","最上静香","40","4","121","30","4218","1398","8172","2728","9396","3136","999","1791","1950","3494","2242","4018","プラチナガシャ
ようこそ！プロデューサーさんガシャ
","Fairyコーデ
Fairyタイプのビジュアル値が30％アップ
","スコアアップ

","一緒に歌いましょう！
9秒ごとに31％の確率で6秒間、Perfectのスコアが20％アップ
","2017-06-29","シアターデイズ　最上静香＋

","○

"
"ラグジュアルステージ　所恵美","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1537544563.jpg","R","フェアリー","所恵美","40","4","129","30","4099","976","7998","1904","9194","2188","1737","1386","3390","2704","3898","3108","プラチナガシャ
ようこそ！プロデューサーさんガシャ
","Fairyチャージ
Fairyタイプのライフが20％アップ
","ライフ回復

","Keep on groovin!
13秒ごとに31％の確率で6秒間、Perfectでライフが2回復
","2017-06-29","ラグジュアルステージ　所恵美＋

","○

"
"笑顔のブライダル　ロコ","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1498723494.jpg","R","フェアリー","ロコ","40","4","133","30","4141","1744","8078","3402","9294","3914","965","1432","1882","2794","2166","3214","プラチナガシャ
ようこそ！プロデューサーさんガシャ
","Fairyテクニック
Fairyタイプのスキル発動率が10%アップ
","判定強化

","貴方のために
11秒ごとに21%の確率で5秒間、GreatをPerfectにする
","2017-06-29","笑顔のブライダル　ロコ＋

","○

"
"静かな闘志　北沢志保","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1537545081.jpg","R","フェアリー","北沢志保","40","4","141","30","4213","1441","8162","2812","9386","3232","1361","1381","2656","2694","3056","3098","プラチナガシャ
ようこそ！プロデューサーさんガシャ
","Fairyチャージ
Fairyタイプのライフが20％アップ
","ダメージガード

","クールファイア
11秒ごとに21％の確率で5秒間、ライフが減少しない
","2017-06-29","静かな闘志　北沢志保＋
覚醒素材
ステージドレス×5
Fairyリップ×5
Fairyパフューム×1
","○

"
"純情乙女なお嬢様　二階堂千鶴","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1537545196.jpg","R","フェアリー","二階堂千鶴","40","4","145","30","4190","916","8118","1788","9334","2056","1394","1850","2720","3610","3128","4150","プラチナガシャ
ようこそ！プロデューサーさんガシャ
","Fairyチャージ
Fairyタイプのライフが20％アップ
","ダメージガード

","乙女の涙
13秒ごとに21％の確率で6秒間、ライフが減少しない
","2017-06-29","純情乙女なお嬢様　二階堂千鶴＋

","○

"
"無表情MC　真壁瑞希","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1537548818.jpg","R","フェアリー","真壁瑞希","40","4","151","30","4182","1406","8160","2744","9384","3156","1341","1435","2616","2800","3008","3220","プラチナガシャ
ようこそ！プロデューサーさんガシャ
","Fairyチャージ
Fairyタイプのライフが20％アップ
","ライフ回復

","生真面目トーク
11秒ごとに31％の確率で5秒間、Perfectでライフが2回復
","2017-06-29","無表情MC　真壁瑞希＋

","○

"
"シアターデイズ　白石紬","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1498711151.jpg","R","フェアリー","白石紬","40","4","153","30","4069","1394","7940","2720","9132","3128","1736","939","3388","1832","3896","2108","プラチナガシャ
ようこそ！プロデューサーさんガシャ
","Fairyハーモニー
Fairyタイプのボーカル値が30%アップ
","コンボボーナス

","みんなと一緒なら…！
9秒ごとに31%の確率で6秒間、コンボボーナスが14%アップ
","2017-06-29","シアターデイズ　白石紬＋

","○

"
"みんなでつくるステージ　天海春香","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1498724755.jpg","R","プリンセス","天海春香","40","4","105","30","4058","1347","7918","2628","9110","3024","1350","1361","2634","2656","3030","3056","プラチナガシャ
ようこそ！プロデューサーさんガシャ
","Princessシャイン
Princessタイプの全アピール値が10％アップ
","コンボボーナス

","オンステージ
9秒ごとに31%の確率で6秒間、コンボボーナスが14％アップ
","2017-06-29","みんなでつくるステージ　天海春香＋

","○

"
"全力投球！　菊地真","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1498715871.jpg","R","プリンセス","菊地真","40","4","109","30","4259","1027","8252","2004","9488","2304","1817","1385","3546","2702","4078","3106","プラチナガシャ
ようこそ！プロデューサーさんガシャ
","Princessハーモニー
Princessタイプのボーカル値が30％アップ
","スコアアップ

","晴れやかな笑顔
7秒ごとに31％の確率で5秒間、Perfectのスコアが20％アップ
","2017-06-29","全力投球！　菊地真＋

","○

"
"困惑ゴシック　我那覇響","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1537162386.jpg","R","プリンセス","我那覇響","40","4","117","30","4154","1856","8106","3622","9326","4166","1347","951","2628","1856","3024","2136","プラチナガシャ
ようこそ！プロデューサーさんガシャ
","Princessチャージ
Princessタイプのライフが20%アップ
","ダメージガード

","もじもじフリル
13秒ごとに21%の確率で6秒間、ライフが減少しない
","2017-06-29","困惑ゴシック　我那覇響＋

","○

"
"シアターデイズ　春日未来","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1498710036.jpg","R","プリンセス","春日未来","40","4","119","30","4130","1833","8058","3576","9266","4112","933","1364","1820","2662","2092","3062","プラチナガシャ
ようこそ！プロデューサーさんガシャ
","Princessステップ
Princessタイプのダンス値が30％アップ
","コンボボーナス

","みんな、いっくよー！
9秒ごとに31％の確率で6秒間、コンボボーナスが14%アップ
","2017-06-29","シアターデイズ　春日未来＋

","○

"
"みなぎる元気　佐竹美奈子","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1537162743.jpg","R","プリンセス","佐竹美奈子","40","4","127","30","4231","1005","8254","1960","9494","2256","1418","1808","2766","3528","3182","4056","プラチナガシャ
ようこそ！プロデューサーさんガシャ
","Princessチャージ
Princessタイプのライフが20％アップ
","ダメージガード

","朗らかトーク
11秒ごとに21％の確率で5秒間、ライフが減少しない
","2017-06-29","みなぎる元気　佐竹美奈子＋

","○

"
"不思議の国のアリス　七尾百合子","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1537273678.jpg","R","プリンセス","七尾百合子","40","4","135","30","4154","1371","8106","2676","9318","3076","1765","1018","3444","1986","3960","2282","プラチナガシャ
ようこそ！プロデューサーさんガシャ
","Princessチャージ
Princessタイプのライフが20%アップ
","ライフ回復

","不思議なお茶会
11秒ごとに31%の確率で5秒間、Perfectでライフが2回復
","2017-06-29","不思議の国のアリス　七尾百合子＋

","○

"
"フラワースマイル　中谷育","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1498708980.jpg","R","プリンセス","中谷育","40","4","137","30","4176","1433","8148","2796","9368","3216","974","1769","1900","3452","2184","3968","プラチナガシャ
ようこそ！プロデューサーさんガシャ
","Princessコーデ
Princessタイプのビジュアル値が30％アップ
","スコアアップ

","スマイル満開！
9秒ごとに31%の確率で6秒間、Perfectのスコアが20％アップ
","2017-06-29","フラワースマイル　中谷育＋

","○

"
"大和撫子のご挨拶　エミリー","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1498710726.jpg","R","プリンセス","エミリー","40","4","139","30","4201","1426","8198","2782","9426","3198","1367","1408","2668","2748","3068","3160","プラチナガシャ
ようこそ！プロデューサーさんガシャ
","Princessテクニック
Princessタイプのスキル発動率が10%アップ
","判定強化

","ナデシコ作法
9秒ごとに21%の確率で4秒間、GreatをPerfectにする
","2017-06-29","大和撫子のご挨拶　エミリー＋

","○

"
"コンコンこぎつね　矢吹可奈","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1537274116.jpg","R","プリンセス","矢吹可奈","40","4","143","30","4061","1128","7924","2200","9116","2532","1573","1360","3070","2654","3530","3054","プラチナガシャ
ようこそ！プロデューサーさんガシャ
","Princessチャージ
Princessタイプのライフが20%アップ
","ライフ回復

","こぎつねスマイル
13秒ごとに31%の確率で6秒間、Perfectでライフが2回復
","2017-06-29","コンコンこぎつね　矢吹可奈＋

","○

"
"熟睡ガール　北上麗花","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1498745395.jpg","SR","エンジェル","北上麗花","60","4","201","35","5704","2115","11222","4160","12798","4744","1548","2041","3046","4016","3474","4580","プラチナガシャ
ようこそ！プロデューサーさんガシャ
","Angelテクニック
Angelタイプのスキル発動率が20％アップ
","コンボ継続

","ぬくぬくの誘惑
9秒ごとに31%の確率で4秒間、Fast/Slowでもコンボ継続
","2017-06-29","熟睡ガール　北上麗花＋
覚醒素材
ミニクラウン×5
Angelリップ×10
Angelパフューム×5
","○

"
"自然体の笑顔　篠宮可憐","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1498745578.jpg","SR","エンジェル","篠宮可憐","60","4","195","35","5713","1912","11240","3762","12816","4290","1910","1891","3758","3720","4286","4240","プラチナガシャ
ようこそ！プロデューサーさんガシャ
","Angelシャイン
Angelタイプの全アピ一ル値が20%アップ
","スコアアップ

","夕焼けスプラッシュ
9秒ごとに31%の確率で5秒間、Perfectのスコアが26%アップ
","2017-06-29","自然体の笑顔　篠宮可憐＋

","○

"
"マジカルクイーン　宮尾美也","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1498747968.jpg","SR","エンジェル","宮尾美也","60","4","191","35","5698","2181","11208","4290","12776","4890","1571","1946","3090","3828","3522","4364","プラチナガシャ
ようこそ！プロデューサーさんガシャ
","Angelステップ
Angelタイプのダンス値が60%アップ
","スコアアップ

","マジカルドリーム
11秒ごとに31%の確率で6秒間、Perfectのスコアが26%アップ
","2017-06-29","マジカルクイーン　宮尾美也＋
覚醒素材
ミニクラウン×5
Angelリップ×10
Angelパフューム×5
","○

"
"ちょっぴり刺激的に　豊川風花","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1498719854.jpg","SR","エンジェル","豊川風花","60","4","189","35","5681","1399","11176","2752","12736","3136","1836","2446","3612","4812","4116","5484","プラチナガシャ
ようこそ！プロデューサーさんガシャ
","Angelコーデ
Angelタイプのビジュアル値が60%アップ
","スコアアップ

","悩殺し文句
11秒ごとに31%の確率で6秒間、Perfectのスコアが26%アップ
","2017-06-29","ちょっぴり刺激的に　豊川風花＋

","○

"
"音楽で紡ぎ出す世界　桜守歌織","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1498709918.jpg","SSR","エンジェル","桜守歌織","80","5","217","40","7255","1755","14330","3466","16750","4051","3086","2414","6096","4768","7126","5573","プラチナガシャ
ようこそ！プロデューサーさんガシャ
","Angelハーモニー
Angelタイプのボーカル値が90%アップ
","スコアアップ

","希望の歌声を響かせて
13秒ごとに31%の確率で7秒間、Perfect/Greatのスコアが30%アップ
","2017-06-29","音楽で紡ぎ出す世界　桜守歌織＋

","○

"
"純白ドレスアップ　木下ひなた","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1498725699.jpg","SR","エンジェル","木下ひなた","60","4","185","35","5773","1420","11288","2794","12868","3186","2474","1844","4866","3628","5546","4136","プラチナガシャ
ようこそ！プロデューサーさんガシャ
","Angelハーモニー
Angelタイプのボーカル値が60％アップ
","スコアアップ

","成熟の瞳
13秒ごとに36％の確率で6秒間、Perfectのスコアが26％アップ
","2017-06-29","純白ドレスアップ　木下ひなた＋
覚醒素材
ミニクラウン×5
Angelリップ×10
Angelパフューム×5
","○

"
"聖剣覚醒　望月杏奈","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1537544877.jpg","SR","エンジェル","望月杏奈","60","4","173","35","5720","1866","11250","3670","12826","4182","1925","1929","3786","3794","4318","4326","プラチナガシャ
ようこそ！プロデューサーさんガシャ
","Angelチャ一ジ
Angelタイプのライフが30％アップ
","ライフ回復

","ブレイブハ一ト
11秒ごとに31%の確率で5秒間、Perfectでライフが3回復
","2017-06-29","聖剣覚醒　望月杏奈＋

","○

"
"真夏の川遊び　野々原茜","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1498724929.jpg","SR","エンジェル","野々原茜","60","4","171","35","5672","1886","11158","3710","12722","4230","1363","2423","2682","4766","3058","5434","プラチナガシャ
ようこそ！プロデューサーさんガシャ
","Angelテクニック
Angelタイプのスキル発動率が20％アップ
","判定強化

","清涼少女
11秒ごとに26%の確率で4秒間、Great/GoodをPerfectにする
","2017-06-29","真夏の川遊び　野々原茜＋
覚醒素材
ミニクラウン×5
Angelリップ×10
Angelパフューム×5
","○

"
"キューティーウェイトレス　双海真美","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1537249546.jpg","SR","エンジェル","双海真美","60","4","167","35","5730","2489","11272","4896","12848","5580","1906","1335","3750","2626","4274","2994","プラチナガシャ
ようこそ！プロデューサーさんガシャ
","Angelチャ一ジ
Angelタイプのライフが30%アップ
","ダメージガード

","歌のご注文はいかが？
11秒ごとに31%の確率で5秒間、ライフが減少しない
","2017-06-29","キューティーウェイトレス　双海真美＋

","○

"
"ようこそ私達の劇場へ！　天海春香","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1498720952.jpg","SSR","プリンセス","天海春香","80","5","207","40","7285","3148","14390","6218","16815","7268","2376","1761","4694","3478","5484","4063","プラチナガシャ
ようこそ！プロデューサーさんガシャ
","Princessステップ
Princessタイプのダンス値が90%アップ
","スコアアップ

","楽しい時間を、みんなと一緒に♪
11秒ごとに31％の確率で6秒間、Perfect/Greatのスコアが30％アップ
","2017-06-29","ようこそ私達の劇場へ！　天海春香＋

","○

"
"一瞬のウインク　星井美希","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1498745217.jpg","SR","エンジェル","星井美希","60","4","159","35","5693","1842","11200","3624","12768","4132","2517","1334","4952","2624","5644","2992","プラチナガシャ
ようこそ！プロデューサーさんガシャ
","Angelハーモニ一
Angelタイプのボ一カル値が60％アップ
","スコアアップ

","絆ウインク
11秒ごとに36％の確率で5秒間、Perfectのスコアが26%アップ
","2017-06-29","一瞬のウインク　星井美希＋

","○

"
"Rock of dawn　ジュリア","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1498740681.jpg","SR","フェアリー","ジュリア","60","4","205","35","5719","2432","11250","4784","12822","5452","1906","1381","3750","2716","4274","3096","プラチナガシャ
ようこそ！プロデューサーさんガシャ
","Fairyステップ
Fairyタイプのダンス値が60%アップ
","スコアアップ

","始まりの旋律
13秒ごとに36%の確率で6秒間、Perfectのスコアが26%アップ
","2017-06-29","Rock of dawn　ジュリア＋

","○

"
"お願いパジャマ　周防桃子","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1537549690.jpg","SR","フェアリー","周防桃子","60","4","203","35","5700","1873","11212","3684","12780","4200","2472","1355","4862","2666","5542","3038","プラチナガシャ
ようこそ！プロデューサーさんガシャ
","Fairyチャージ
Fairyタイプのライフが30％アップ
","ライフ回復

","もじもじマクラ
11秒ごとに31%の確率で5秒間、Perfectでライフが3回復
","2017-06-29","お願いパジャマ　周防桃子＋
覚醒素材
ミニクラウン×5
Fairyリップ×10
Fairyパフューム×5
","○

"
"光輝く星のように　最上静香","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1498723785.jpg","SSR","フェアリー","最上静香","80","5","211","40","7394","2483","14604","4904","17069","5734","2474","2437","4886","4814","5711","5624","プラチナガシャ
ようこそ！プロデューサーさんガシャ
","Fairyシャイン
Fairyタイプの全アピール値が30％アップ
","判定強化

","胸に秘めた大切な想い
14秒ごとに26％の確率で7秒間、Great/Good/Fast/SlowをPerfectにする
","2017-06-29","光輝く星のように　最上静香＋

","○

"
"照れ顔ビューティー　永吉昴","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1498747704.jpg","SR","フェアリー","永吉昴","60","4","199","35","5688","1902","11190","3742","12754","4266","1878","1908","3694","3754","4210","4278","プラチナガシャ
ようこそ！プロデューサーさんガシャ
","Fairyテクニック
Fairyタイプのスキル発動率が20%アップ
","コンボ継続

","ペコペコですわ♪
9秒ごとに31%の確率で4秒間、Fast/Slowでもコンボ継続
","2017-06-29","照れ顔ビューティー　永吉昴＋
覚醒素材
ミニクラウン×5
Fairyリップ×10
Fairyパフューム×5
","○

"
"みんなの視線を一人占め♪　伊吹翼","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1498709690.jpg","SSR","エンジェル","伊吹翼","80","5","213","40","7408","2453","14634","4846","17104","5666","2507","2448","4952","4836","5787","5651","プラチナガシャ
ようこそ！プロデューサーさんガシャ
","Angelシャイン
Angelタイプの全アピール値が30%アップ
","判定強化

","カワイイわたしを見せてあげる！
12秒ごとに21％の確率で6秒間、Great/Good/Fast/SlowをPerfectにする
","2017-06-29","みんなの視線を一人占め♪　伊吹翼＋

","○

"
"お約束サンオイル　百瀬莉緒","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1537549369.jpg","SR","フェアリー","百瀬莉緒","60","4","197","35","5696","1873","11204","3684","12776","4200","1403","2420","2760","4760","3148","5428","プラチナガシャ
ようこそ！プロデューサーさんガシャ
","Fairyコーデ
Fairyタイプのビジュアル値が60%アップ
","スコアアップ

","溢れ出す想い
11秒ごとに31%の確率で6秒間、Perfectのスコアが26%アップ
","2017-06-29","お約束サンオイル　百瀬莉緒＋

","○

"
"夕焼けキャニオン　舞浜歩","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1498740000.jpg","SR","フェアリー","舞浜歩","60","4","183","35","5688","1390","11188","2734","12756","3118","2435","1863","4790","3664","5462","4176","プラチナガシャ
ようこそ！プロデューサーさんガシャ
","Fairyハーモニー
Fairyタイプのボーカル値が60%アップ
","スコアアップ

","いつかの夕陽
9秒ごとに31%の確率で5秒間、Perfectのスコアが26%アップ
","2017-06-29","夕焼けキャニオン　舞浜歩＋

","○

"
"優雅なグリーティング　天空橋朋花","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1498746181.jpg","SR","フェアリー","天空橋朋花","60","4","181","35","5750","1920","11312","3778","12896","4306","1924","1905","3786","3748","4318","4272","プラチナガシャ
ようこそ！プロデューサーさんガシャ
","Fairyシャイン
Fairyタイプの全アピール値が20%アップ
","スコアアップ

","揺れる聖母心
11秒ごとに36%の確率で5秒間、Perfectのスコアが26%アップ
","2017-06-29","優雅なグリーティング　天空橋朋花＋
覚醒素材
ミニクラウン×5
Fairyリップ×10
Fairyパフューム×5
","○

"
"夢のお出迎え　秋月律子","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1499588651.jpg","SR","フェアリー","秋月律子","60","4","165","35","5760","2477","11262","4872","12842","5556","1391","1857","2736","3654","3120","4166","プラチナガシャ
ようこそ！プロデューサーさんガシャ
","Fairyテクニック
Fairyタイプのスキル発動率が20％アップ
","判定強化

","ラブラブお出迎え
13秒ごとに26％の確率で6秒間、Great/GoodをPerfectにする
","2017-06-29","夢のお出迎え　秋月律子＋
覚醒素材
ミニクラウン×5
Fairyリップ×10
Fairyパフューム×5
","○

"
"はじまりの場所　春日未来","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1498722223.jpg","SSR","プリンセス","春日未来","80","5","209","40","7397","2474","14610","4886","17075","5711","2446","2477","4832","4892","5647","5717","プラチナガシャ
ようこそ！プロデューサーさんガシャ
","Princessシャイン
Princessタイプの全アピール値が30％アップ
","判定強化

","元気いっぱい、きらめきスタート！
8秒ごとに21％の確率で4秒間、Great/Good/Fast/SlowをPerfectにする
","2017-06-29","はじまりの場所　春日未来＋

","○

"
